filepath,testclass,testname,assertion type,line number,assert string
./projects/magenta\magenta\contrib\rnn_test.py,RNNCellTest_class,testInputProjectionWrapper,assertAllClose,48,"self.assertAllClose(res[0], [[0.154605, 0.154605, 0.154605]])"
./projects/magenta\magenta\contrib\rnn_test.py,RNNCellTest_class,_testAttentionCellWrapperCorrectResult,assertAllClose,251,"self.assertAllClose(sess.run(output), expected_output)"
./projects/magenta\magenta\contrib\rnn_test.py,RNNCellTest_class,_testAttentionCellWrapperCorrectResult,assertAllClose,252,"self.assertAllClose(sess.run(state), expected_state)"
./projects/magenta\magenta\contrib\rnn_test.py,StackBidirectionalRNNTest_class,_testStackBidirectionalDynamicRNN,assertAllClose,345,"self.assertAllClose(s_fw[0], s_bw[0])"
./projects/magenta\magenta\contrib\rnn_test.py,StackBidirectionalRNNTest_class,testBidirectionalRNN,assertAllClose,345,"self.assertAllClose(s_fw[0], s_bw[0])"
./projects/magenta\magenta\contrib\rnn_test.py,LSTMBlockCellTest_class,testLSTMBlockCell,assertAllClose,539,"self.assertAllClose(res[0], [[0.24024698, 0.24024698]])"
./projects/magenta\magenta\contrib\rnn_test.py,LSTMBlockCellTest_class,testLSTMBlockCell,assertAllClose,541,"self.assertAllClose(res[1], [[0.68967271, 0.68967271]])"
./projects/magenta\magenta\contrib\rnn_test.py,LSTMBlockCellTest_class,testLSTMBlockCell,assertAllClose,542,"self.assertAllClose(res[2], [[0.44848421, 0.44848421]])"
./projects/magenta\magenta\contrib\rnn_test.py,LSTMBlockCellTest_class,testLSTMBlockCell,assertAllClose,543,"self.assertAllClose(res[3], [[0.39897051, 0.39897051]])"
./projects/magenta\magenta\contrib\rnn_test.py,LSTMBlockCellTest_class,testLSTMBlockCell,assertAllClose,544,"self.assertAllClose(res[4], [[0.24024698, 0.24024698]])"
./projects/magenta\magenta\contrib\rnn_test.py,LSTMBlockCellTest_class,testLSTMBasicToBlockCell,assertAllClose,619,"self.assertAllClose(basic, block)"
./projects/magenta\magenta\contrib\rnn_test.py,LSTMBlockCellTest_class,testLSTMBasicToBlockCellPeeping,assertAllClose,672,"self.assertAllClose(basic, block)"
./projects/magenta\magenta\contrib\rnn_test.py,LayerNormBasicLSTMCellTest_class,testBasicLSTMCell,assertAllClose,716,"self.assertAllClose(actual_h, expected_h, 1e-5)"
./projects/magenta\magenta\contrib\rnn_test.py,LayerNormBasicLSTMCellTest_class,testBasicLSTMCell,assertAllClose,717,"self.assertAllClose(expected_state0_c, actual_state0_c, 1e-5)"
./projects/magenta\magenta\contrib\rnn_test.py,LayerNormBasicLSTMCellTest_class,testBasicLSTMCell,assertAllClose,718,"self.assertAllClose(expected_state0_h, actual_state0_h, 1e-5)"
./projects/magenta\magenta\contrib\rnn_test.py,LayerNormBasicLSTMCellTest_class,testBasicLSTMCell,assertAllClose,719,"self.assertAllClose(expected_state1_c, actual_state1_c, 1e-5)"
./projects/magenta\magenta\contrib\rnn_test.py,LayerNormBasicLSTMCellTest_class,testBasicLSTMCell,assertAllClose,720,"self.assertAllClose(expected_state1_h, actual_state1_h, 1e-5)"
./projects/magenta\magenta\contrib\rnn_test.py,LayerNormBasicLSTMCellTest_class,testBasicLSTMCell,assertAllClose,742,"self.assertAllClose(res[0], expected_h, 1e-5)"
./projects/magenta\magenta\contrib\rnn_test.py,LayerNormBasicLSTMCellTest_class,testBasicLSTMCell,assertAllClose,743,"self.assertAllClose(res[1].c, expected_c, 1e-5)"
./projects/magenta\magenta\contrib\rnn_test.py,LayerNormBasicLSTMCellTest_class,testBasicLSTMCell,assertAllClose,744,"self.assertAllClose(res[1].h, expected_h, 1e-5)"
./projects/magenta\magenta\contrib\rnn_test.py,LayerNormBasicLSTMCellTest_class,testBasicLSTMCellWithoutNorm,assertAllClose,784,"self.assertAllClose(actual_h, expected_h, 1e-5)"
./projects/magenta\magenta\contrib\rnn_test.py,LayerNormBasicLSTMCellTest_class,testBasicLSTMCellWithoutNorm,assertAllClose,785,"self.assertAllClose(expected_state0_c, actual_state0_c, 1e-5)"
./projects/magenta\magenta\contrib\rnn_test.py,LayerNormBasicLSTMCellTest_class,testBasicLSTMCellWithoutNorm,assertAllClose,786,"self.assertAllClose(expected_state0_h, actual_state0_h, 1e-5)"
./projects/magenta\magenta\contrib\rnn_test.py,LayerNormBasicLSTMCellTest_class,testBasicLSTMCellWithoutNorm,assertAllClose,787,"self.assertAllClose(expected_state1_c, actual_state1_c, 1e-5)"
./projects/magenta\magenta\contrib\rnn_test.py,LayerNormBasicLSTMCellTest_class,testBasicLSTMCellWithoutNorm,assertAllClose,788,"self.assertAllClose(expected_state1_h, actual_state1_h, 1e-5)"
./projects/magenta\magenta\contrib\rnn_test.py,LayerNormBasicLSTMCellTest_class,testBasicLSTMCellWithoutNorm,assertAllClose,810,"self.assertAllClose(res[0], expected_h, 1e-5)"
./projects/magenta\magenta\contrib\rnn_test.py,LayerNormBasicLSTMCellTest_class,testBasicLSTMCellWithoutNorm,assertAllClose,811,"self.assertAllClose(res[1].c, expected_c, 1e-5)"
./projects/magenta\magenta\contrib\rnn_test.py,LayerNormBasicLSTMCellTest_class,testBasicLSTMCellWithoutNorm,assertAllClose,812,"self.assertAllClose(res[1].h, expected_h, 1e-5)"
./projects/magenta\magenta\contrib\rnn_test.py,LayerNormBasicLSTMCellTest_class,testBasicLSTMCellWithStateTuple,assertAllClose,845,"self.assertAllClose(res[0], expected_h, 1e-5)"
./projects/magenta\magenta\contrib\rnn_test.py,LayerNormBasicLSTMCellTest_class,testBasicLSTMCellWithStateTuple,assertAllClose,846,"self.assertAllClose(res[1].c, expected_c0, 1e-5)"
./projects/magenta\magenta\contrib\rnn_test.py,LayerNormBasicLSTMCellTest_class,testBasicLSTMCellWithStateTuple,assertAllClose,847,"self.assertAllClose(res[1].h, expected_h0, 1e-5)"
./projects/magenta\magenta\contrib\rnn_test.py,LayerNormBasicLSTMCellTest_class,testBasicLSTMCellWithStateTuple,assertAllClose,848,"self.assertAllClose(res[2].c, expected_c1, 1e-5)"
./projects/magenta\magenta\contrib\rnn_test.py,LayerNormBasicLSTMCellTest_class,testBasicLSTMCellWithStateTuple,assertAllClose,849,"self.assertAllClose(res[2].h, expected_h1, 1e-5)"
./projects/magenta\magenta\contrib\rnn_test.py,LayerNormBasicLSTMCellTest_class,testBasicLSTMCellWithStateTupleLayerNorm,assertAllClose,886,"self.assertAllClose(res[0], expected_h, 1e-5)"
./projects/magenta\magenta\contrib\rnn_test.py,LayerNormBasicLSTMCellTest_class,testBasicLSTMCellWithStateTupleLayerNorm,assertAllClose,887,"self.assertAllClose(res[1].c, expected_c0, 1e-5)"
./projects/magenta\magenta\contrib\rnn_test.py,LayerNormBasicLSTMCellTest_class,testBasicLSTMCellWithStateTupleLayerNorm,assertAllClose,888,"self.assertAllClose(res[1].h, expected_h0, 1e-5)"
./projects/magenta\magenta\contrib\rnn_test.py,LayerNormBasicLSTMCellTest_class,testBasicLSTMCellWithStateTupleLayerNorm,assertAllClose,889,"self.assertAllClose(res[2].c, expected_c1, 1e-5)"
./projects/magenta\magenta\contrib\rnn_test.py,LayerNormBasicLSTMCellTest_class,testBasicLSTMCellWithStateTupleLayerNorm,assertAllClose,890,"self.assertAllClose(res[2].h, expected_h1, 1e-5)"
./projects/magenta\magenta\contrib\seq2seq_test.py,DynamicDecodeRNNTest_class,_testDynamicDecodeRNNWithTrainingHelperMatchesDynamicRNN,assertAllClose,153,"self.assertAllClose(sess_results[""final_decoder_outputs""].rnn_output,
                          sess_results[""final_rnn_outputs""][:, 0:max_out, :])"
./projects/magenta\magenta\contrib\seq2seq_test.py,DynamicDecodeRNNTest_class,_testDynamicDecodeRNNWithTrainingHelperMatchesDynamicRNN,assertAllClose,156,"self.assertAllClose(sess_results[""final_decoder_state""],
                            sess_results[""final_rnn_state""])"
./projects/magenta\magenta\contrib\seq2seq_test.py,DynamicDecodeRNNTest_class,testDynamicDecodeRNNWithTrainingHelperMatchesDynamicRNNWithSeqLen,assertAllClose,153,"self.assertAllClose(sess_results[""final_decoder_outputs""].rnn_output,
                          sess_results[""final_rnn_outputs""][:, 0:max_out, :])"
./projects/magenta\magenta\contrib\seq2seq_test.py,DynamicDecodeRNNTest_class,testDynamicDecodeRNNWithTrainingHelperMatchesDynamicRNNWithSeqLen,assertAllClose,156,"self.assertAllClose(sess_results[""final_decoder_state""],
                            sess_results[""final_rnn_state""])"
