filepath,testclass,testname,assertion type,line number,assert string
./projects/sonnet\sonnet\src\axis_norm_test.py,LayerNormTest_class,testDataFormatAgnosticVar,assertAllClose,78,"self.assertAllClose(c_last_output.numpy(), c_first_output.numpy())"
./projects/sonnet\sonnet\src\axis_norm_test.py,LayerNormTest_class,testDataFormatAgnosticTensor,assertAllClose,125,"self.assertAllClose(c_last_output.numpy(), c_first_output.numpy())"
./projects/sonnet\sonnet\src\axis_norm_test.py,LayerNormTest_class,test5DDataFormatAgnostic,assertAllClose,274,"self.assertAllClose(
        c_last_output.numpy(), c_first_output.numpy(), atol=1e-5, rtol=1e-5)"
./projects/sonnet\sonnet\src\axis_norm_test.py,LayerNormTest_class,test3DDataFormatAgnostic,assertAllClose,297,"self.assertAllClose(
        c_last_output.numpy(), c_first_output.numpy(), atol=1e-5, rtol=1e-5)"
./projects/sonnet\sonnet\src\batch_norm_test.py,BaseBatchNormTest_class,testUsingTestStats,assertAllClose,181,"self.assertAllClose(x, 2.0, rtol=1e-5, atol=1e-3)"
./projects/sonnet\sonnet\src\conv_test.py,ConvTest_class,testFunction,assertAllClose,150,"self.assertAllClose(self.evaluate(y1), self.evaluate(y2), atol=1e-4)"
./projects/sonnet\sonnet\src\conv_test.py,Conv2DTest_class,testComputationPaddingSame,assertAllClose,244,"self.assertAllClose(self.evaluate(out), expected_out)"
./projects/sonnet\sonnet\src\conv_test.py,Conv2DTest_class,testComputationPaddingValid,assertAllClose,265,"self.assertAllClose(self.evaluate(out), expected_out)"
./projects/sonnet\sonnet\src\conv_test.py,Conv1DTest_class,testComputationPaddingSame,assertAllClose,289,"self.assertAllClose(self.evaluate(out), expected_out)"
./projects/sonnet\sonnet\src\conv_test.py,Conv1DTest_class,testComputationPaddingValid,assertAllClose,310,"self.assertAllClose(self.evaluate(out), expected_out)"
./projects/sonnet\sonnet\src\conv_test.py,Conv3DTest_class,testComputationPaddingSame,assertAllClose,341,"self.assertAllClose(self.evaluate(out), expected_out)"
./projects/sonnet\sonnet\src\conv_test.py,Conv3DTest_class,testComputationPaddingValid,assertAllClose,364,"self.assertAllClose(self.evaluate(out), expected_out)"
./projects/sonnet\sonnet\src\conv_transpose_test.py,ConvTransposeTest_class,testGraphConv,assertAllClose,109,"self.assertAllClose(self.evaluate(y1), self.evaluate(y2), atol=1e-4)"
./projects/sonnet\sonnet\src\conv_transpose_test.py,Conv2DTransposeTest_class,testComputationPaddingSame,assertAllClose,235,"self.assertAllClose(self.evaluate(out), expected_out)"
./projects/sonnet\sonnet\src\conv_transpose_test.py,Conv2DTransposeTest_class,testComputationPaddingValid,assertAllClose,258,"self.assertAllClose(self.evaluate(out), expected_out)"
./projects/sonnet\sonnet\src\conv_transpose_test.py,Conv1DTransposeTest_class,testComputationPaddingSame,assertAllClose,296,"self.assertAllClose(self.evaluate(out), expected_out)"
./projects/sonnet\sonnet\src\conv_transpose_test.py,Conv1DTransposeTest_class,testComputationPaddingValid,assertAllClose,318,"self.assertAllClose(self.evaluate(out), expected_out)"
./projects/sonnet\sonnet\src\conv_transpose_test.py,Conv3DTransposeTest_class,testComputationPaddingSame,assertAllClose,345,"self.assertAllClose(self.evaluate(out), expected_out)"
./projects/sonnet\sonnet\src\conv_transpose_test.py,Conv3DTransposeTest_class,testComputationPaddingValid,assertAllClose,373,"self.assertAllClose(self.evaluate(out), expected_out)"
./projects/sonnet\sonnet\src\depthwise_conv_test.py,DepthwiseConvTest_class,testFunction,assertAllClose,95,"self.assertAllClose(self.evaluate(y1), self.evaluate(y2), atol=1e-4)"
./projects/sonnet\sonnet\src\depthwise_conv_test.py,DepthwiseConvTest_class,testComputationSame,assertAllClose,172,"self.assertAllClose(np.reshape(out.numpy(), [5, 5]), expected_out)"
./projects/sonnet\sonnet\src\depthwise_conv_test.py,DepthwiseConvTest_class,testComputationValid,assertAllClose,190,"self.assertAllClose(np.reshape(out.numpy(), [3, 3]), expected_out)"
./projects/sonnet\sonnet\src\depthwise_conv_test.py,DepthwiseConvTest_class,testComputationValidMultiChannel,assertAllClose,207,"self.assertAllClose(np.reshape(out.numpy(), [3, 3, 3]), expected_out)"
./projects/sonnet\sonnet\src\depthwise_conv_test.py,DepthwiseConvTest_class,testSharing,assertAllClose,223,"self.assertAllClose(conv1(x1), conv1(x2))"
./projects/sonnet\sonnet\src\depthwise_conv_test.py,DepthwiseConvTest_class,testSharing,assertAllClose,231,"self.assertAllClose(conv1(x1), conv1(x2))"
./projects/sonnet\sonnet\src\dropout_test.py,DropoutTest_class,test_sum_close,assertAllClose,31,"self.assertAllClose(
        tf.reduce_sum(mod(x, is_training=True)),
        tf.reduce_sum(mod(x, is_training=False)),
        rtol=rtol)"
./projects/sonnet\sonnet\src\dropout_test.py,DropoutTest_class,test_dropout_rate,assertAllClose,47,"self.assertAllClose(kept, 1000 * keep_prob, rtol=rtol)"
./projects/sonnet\sonnet\src\group_norm_test.py,GroupNormTest_class,testDataFormatAgnosticVar,assertAllClose,78,"self.assertAllClose(c_last_output.numpy(), c_first_output.numpy())"
./projects/sonnet\sonnet\src\group_norm_test.py,GroupNormTest_class,testDataFormatAgnosticTensor,assertAllClose,121,"self.assertAllClose(c_last_output, c_first_output, rtol=1e-5)"
./projects/sonnet\sonnet\src\group_norm_test.py,GroupNormTest_class,test5DDataFormatAgnostic,assertAllClose,293,"self.assertAllClose(
        c_last_output.numpy(), c_first_output.numpy(), atol=1e-5, rtol=1e-5)"
./projects/sonnet\sonnet\src\group_norm_test.py,GroupNormTest_class,test3DDataFormatAgnostic,assertAllClose,313,"self.assertAllClose(
        c_last_output.numpy(), c_first_output.numpy(), atol=1e-5, rtol=1e-5)"
./projects/sonnet\sonnet\src\initializers_test.py,OrthogonalInitializerTest_class,testShapesValues,assertAllClose,358,"self.assertAllClose(
          np.dot(t.T, t), np.eye(t.shape[1]), rtol=tol, atol=tol)"
./projects/sonnet\sonnet\src\initializers_test.py,OrthogonalInitializerTest_class,testShapesValues,assertAllClose,361,"self.assertAllClose(
          np.dot(t, t.T), np.eye(t.shape[0]), rtol=tol, atol=tol)"
./projects/sonnet\sonnet\src\initializers_test.py,VarianceScalingInitializerTest_class,testWithTFFunction,assertAllClose,514,"self.assertAllClose(expected, x)"
./projects/sonnet\sonnet\src\initializers_test.py,VarianceScalingInitializerTest_class,testBatchAgnostic,assertAllClose,530,"self.assertAllClose(expected, x)"
./projects/sonnet\sonnet\src\linear_test.py,LinearTest_class,testCallMultiBatch,assertAllClose,106,"self.assertAllClose(tf_output, np_output, atol=1e-2, rtol=5e-2)"
./projects/sonnet\sonnet\src\linear_test.py,LinearTest_class,testFunction,assertAllClose,123,"self.assertAllClose(self.evaluate(y1), self.evaluate(y2), atol=1e-4)"
./projects/sonnet\sonnet\src\moving_averages_test.py,ExponentialMovingAverageTest_class,testCall,assertAllClose,28,"self.assertAllClose(ema(3.0).numpy(), 3.0)"
./projects/sonnet\sonnet\src\moving_averages_test.py,ExponentialMovingAverageTest_class,testCall,assertAllClose,29,"self.assertAllClose(ema(6.0).numpy(), 5.0)"
./projects/sonnet\sonnet\src\moving_averages_test.py,ExponentialMovingAverageTest_class,testUpdateAndValue,assertAllClose,34,"self.assertAllClose(ema.value.numpy(), 3.0, atol=1e-3, rtol=1e-5)"
./projects/sonnet\sonnet\src\moving_averages_test.py,ExponentialMovingAverageTest_class,testUpdateAndValue,assertAllClose,37,"self.assertAllClose(ema.value.numpy(), 5.0, atol=1e-3, rtol=1e-5)"
./projects/sonnet\sonnet\src\moving_averages_test.py,ExponentialMovingAverageTest_class,testReset,assertAllClose,41,"self.assertAllClose(ema(3.0).numpy(), 3.0, atol=1e-3, rtol=1e-5)"
./projects/sonnet\sonnet\src\moving_averages_test.py,ExponentialMovingAverageTest_class,testReset,assertAllClose,47,"self.assertAllClose(ema(3.0).numpy(), 3.0, atol=1e-3, rtol=1e-5)"
./projects/sonnet\sonnet\src\moving_averages_test.py,ExponentialMovingAverageTest_class,testResetVector,assertAllClose,55,"self.assertAllClose(ema.value.numpy(), tf.zeros_like(random_input))"
./projects/sonnet\sonnet\src\moving_averages_test.py,ExponentialMovingAverageTest_class,testValueEqualsLatestUpdate,assertAllClose,61,"self.assertAllClose(ema(3.0).numpy(), 3.0, atol=1e-3, rtol=1e-5)"
./projects/sonnet\sonnet\src\moving_averages_test.py,ExponentialMovingAverageTest_class,testValueEqualsLatestUpdate,assertAllClose,62,"self.assertAllClose(ema.value.numpy(), 3.0, atol=1e-3, rtol=1e-5)"
./projects/sonnet\sonnet\src\moving_averages_test.py,ExponentialMovingAverageTest_class,testValueEqualsLatestUpdate,assertAllClose,64,"self.assertAllClose(ema(6.0).numpy(), 5.0, atol=1e-3, rtol=1e-5)"
./projects/sonnet\sonnet\src\moving_averages_test.py,ExponentialMovingAverageTest_class,testValueEqualsLatestUpdate,assertAllClose,65,"self.assertAllClose(ema.value.numpy(), 5.0, atol=1e-3, rtol=1e-5)"
./projects/sonnet\sonnet\src\moving_averages_test.py,ExponentialMovingAverageTest_class,testWithTFFunction,assertAllClose,75,"self.assertAllClose(
          ema_1(x).numpy(), ema_func(x).numpy(), atol=1e-3, rtol=1e-5)"
./projects/sonnet\sonnet\src\moving_averages_test.py,ExponentialMovingAverageTest_class,testResetWithTFFunction,assertAllClose,82,"self.assertAllClose(ema_func(3.0).numpy(), 3.0, atol=1e-3, rtol=1e-5)"
./projects/sonnet\sonnet\src\moving_averages_test.py,ExponentialMovingAverageTest_class,testResetWithTFFunction,assertAllClose,87,"self.assertAllClose(ema_func(3.0).numpy(), 3.0, atol=1e-3, rtol=1e-5)"
./projects/sonnet\sonnet\src\pad_test.py,PadTest_class,test_same_padding,assertAllClose,76,"self.assertAllClose(y1.numpy(), y2.numpy())"
./projects/sonnet\sonnet\src\parallel_linear_test.py,ParallelLinearTest_class,test_behaves_same_as_stacked_linears,assertAllClose,49,"self.assertAllClose(parallel_outputs.numpy(), stacked_outputs.numpy())"
./projects/sonnet\sonnet\src\recurrent_test.py,VanillaRNNTest_class,testComputationAgainstNumPy,assertAllClose,54,"self.assertAllClose(outputs, expected_output, atol=atol)"
./projects/sonnet\sonnet\src\recurrent_test.py,VanillaRNNTest_class,testComputationAgainstNumPy,assertAllClose,55,"self.assertAllClose(next_state, expected_output, atol=atol)"
./projects/sonnet\sonnet\src\recurrent_test.py,VanillaRNNTest_class,testInitialization,assertAllClose,77,"self.assertAllClose(self.evaluate(v), self.evaluate(tf.ones_like(v)))"
./projects/sonnet\sonnet\src\recurrent_test.py,DeepRNNTest_class,testComputationAgainstNumPy,assertAllClose,107,"self.assertAllClose(outputs, expected_outputs)"
./projects/sonnet\sonnet\src\recurrent_test.py,DeepRNNTest_class,testComputationAgainstNumPy,assertAllClose,108,"self.assertAllClose(next_state, tuple(expected_next_state))"
./projects/sonnet\sonnet\src\recurrent_test.py,DeepRNNTest_class,testComputationAgainstNumPyWithCallables,assertAllClose,120,"self.assertAllClose(outputs, np.sign(np.tanh(inputs)))"
./projects/sonnet\sonnet\src\recurrent_test.py,DeepRNNTest_class,testInitialState,assertAllClose,128,"self.assertAllClose(prev_state[0], core0.initial_state(self.batch_size))"
./projects/sonnet\sonnet\src\recurrent_test.py,DeepRNNTest_class,testInitialState,assertAllClose,129,"self.assertAllClose(prev_state[1], core1.initial_state(self.batch_size))"
./projects/sonnet\sonnet\src\recurrent_test.py,LSTMTest_class,testComputationAgainstNumPy,assertAllClose,193,"self.assertAllClose(outputs, next_state.hidden, atol=atol)"
./projects/sonnet\sonnet\src\recurrent_test.py,LSTMTest_class,testComputationAgainstNumPy,assertAllClose,194,"self.assertAllClose(expected_hidden, next_state.hidden, atol=atol)"
./projects/sonnet\sonnet\src\recurrent_test.py,LSTMTest_class,testComputationAgainstNumPy,assertAllClose,195,"self.assertAllClose(expected_cell, next_state.cell, atol=atol)"
./projects/sonnet\sonnet\src\recurrent_test.py,LSTMTest_class,testInitialization,assertAllClose,222,"self.assertAllClose(self.evaluate(v), self.evaluate(tf.ones_like(v)))"
./projects/sonnet\sonnet\src\recurrent_test.py,LSTMTest_class,testRecurrentDropout,assertAllClose,242,"self.assertAllClose(train_output, test_output, rtol=rtol)"
./projects/sonnet\sonnet\src\recurrent_test.py,UnrolledLSTMTest_class,testComputationAgainstLSTM,assertAllClose,294,"self.assertAllClose(output_sequence, expected_output_sequence, atol=atol)"
./projects/sonnet\sonnet\src\recurrent_test.py,UnrolledLSTMTest_class,testComputationAgainstLSTM,assertAllClose,295,"self.assertAllClose(
        final_state.hidden, expected_final_state.hidden, atol=atol)"
./projects/sonnet\sonnet\src\recurrent_test.py,UnrolledLSTMTest_class,testComputationAgainstLSTM,assertAllClose,297,"self.assertAllClose(final_state.cell, expected_final_state.cell, atol=atol)"
./projects/sonnet\sonnet\src\recurrent_test.py,UnrolledLSTMTest_class,testInitialization,assertAllClose,345,"self.assertAllClose(self.evaluate(v), self.evaluate(tf.ones_like(v)))"
